customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,churn_flag,active_flag,tenure_group,age_group,monthly_charge_band,customer_value_segment,service_count,protection_support_service_count,referral_group,contract_risk_group,descriptive_risk_points,descriptive_risk_segment,avg_revenue_per_tenure_month,customer_engagement_profile,predicted_churn_probability,high_risk_at_selected_threshold,flag_high_value_high_risk,flag_early_fiber,flag_early_month_to_month,flag_senior_high_charge,flag_fiber_month_to_month,flag_month_to_month_no_support,flag_san_diego,primary_intervention,intervention_priority,recommended_action,base_offer_cost
9086-YJYXS,Male,23,Yes,No,Yes,Yes,1,United States,California,San Martin,95046,37.084697,-121.606417,5671,Q3,No,0,34,Offer C,Yes,5.39,Yes,Yes,Cable,52,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,77.2,2753.8,0.0,0,183.26,2937.06,5,Stayed,No,58,3997,Not Applicable,Not Applicable,0,1,25–48 months,19–29,$70–$89.99,Core Value,7,1,No Referrals,Moderate Contract Risk,1,Lower,86.38,Multi-Service,0.371104228253686,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
9506-UXUSK,Male,53,No,No,No,No,0,United States,California,San Jose,95116,37.350284,-121.852855,51706,Q3,No,0,13,Offer D,Yes,39.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.15,931.75,0.0,150,509.21,1590.96,5,Stayed,No,30,4599,Not Applicable,Not Applicable,0,1,13–24 months,45–59,$70–$89.99,High Value,2,0,No Referrals,Higher Contract Risk,3,High,122.38,Basic Relationship,0.5520295767013242,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
0581-MDMPW,Female,63,No,No,No,No,0,United States,California,San Jose,95148,37.339533,-121.777179,44103,Q3,No,0,24,Offer C,Yes,44.09,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,88.95,2072.75,0.0,0,1058.16,3130.91,3,Stayed,No,37,5557,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$70–$89.99,Premium Value,5,1,No Referrals,Higher Contract Risk,3,High,130.45,Multi-Service,0.5449090558679192,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
9163-GHAYE,Female,34,No,No,No,No,0,United States,California,Stockton,95204,37.974498,-121.319568,30476,Q3,No,0,15,No Offer,Yes,31.68,No,Yes,Cable,23,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,48.85,736.8,0.0,0,475.2,1212.0,5,Stayed,No,62,5584,Not Applicable,Not Applicable,0,1,13–24 months,30–44,$35–$69.99,Premium Value,4,1,No Referrals,Higher Contract Risk,2,Elevated,80.8,Basic Relationship,0.3257873358274543,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
3904-UKFRE,Male,27,Yes,No,No,No,0,United States,California,Stockton,95205,37.965695,-121.260051,34138,Q3,No,0,4,Offer E,Yes,44.16,Yes,Yes,Fiber Optic,82,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.1,336.15,0.0,0,176.64,512.79,3,Stayed,No,67,2333,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$70–$89.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,4,Very High,128.2,Basic Relationship,0.698223723550836,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
0058-EVZWM,Female,37,No,No,Yes,No,0,United States,California,Stockton,95209,38.044523,-121.348048,30814,Q3,Yes,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,3,Stayed,No,42,5875,Not Applicable,Not Applicable,0,1,49–72 months,30–44,$70–$89.99,Premium Value,5,1,1–2 Referrals,Higher Contract Risk,3,High,95.25,Advocate,0.5140013560746143,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1575-KRZZE,Female,64,No,No,No,No,0,United States,California,Murphys,95247,38.147852,-120.440124,4353,Q3,No,0,4,Offer E,Yes,7.49,No,Yes,Cable,17,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,55.2,220.65,0.0,0,29.96,250.61,3,Stayed,No,74,4042,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$35–$69.99,Core Value,5,2,No Referrals,Higher Contract Risk,3,High,62.65,Protection Engaged,0.423392398445867,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1845-ZLLIG,Male,45,No,No,No,No,0,United States,California,Woodbridge,95258,38.169605,-121.310964,4176,Q3,No,0,1,Offer E,Yes,20.3,No,Yes,DSL,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.15,50.15,0.0,0,20.3,70.45,3,Joined,No,50,4014,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Core Value,4,1,No Referrals,Higher Contract Risk,3,High,70.45,Basic Relationship,0.4517178134140593,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
6988-CJEYV,Male,56,No,No,No,No,0,United States,California,Crows Landing,95313,37.435664,-121.049056,1508,Q3,No,0,49,Offer B,Yes,45.46,Yes,Yes,Fiber Optic,27,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.7,4920.55,0.0,0,2227.54,7148.09,3,Stayed,No,79,6148,Not Applicable,Not Applicable,0,1,49–72 months,45–59,$90+,Premium Value,7,1,No Referrals,Higher Contract Risk,4,Very High,145.88,Multi-Service,0.4336672802153801,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
9743-DQKQW,Male,28,Yes,No,No,No,0,United States,California,Escalon,95320,37.818543,-121.006907,11474,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,69,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.1,79.8,0.0,0,0.0,79.8,5,Joined,No,58,2013,Not Applicable,Not Applicable,0,1,1–6 months,19–29,Under $35,Emerging Value,2,0,No Referrals,Higher Contract Risk,3,High,26.6,Basic Relationship,0.5315742320392962,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1215-VFYVK,Female,19,Yes,No,No,No,0,United States,California,Groveland,95321,37.902968,-119.667544,3680,Q3,No,0,4,Offer E,No,0.0,No,Yes,Cable,30,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,48.25,202.25,0.0,10,0.0,212.25,3,Stayed,No,30,2682,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$35–$69.99,Emerging Value,6,3,No Referrals,Higher Contract Risk,2,Elevated,53.06,Protection Engaged,0.6071897777081795,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
9093-FPDLG,Female,54,No,No,No,No,0,United States,California,Hilmar,95324,37.394536,-120.890747,7177,Q3,No,0,11,No Offer,Yes,9.52,No,Yes,Fiber Optic,4,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,999.9,0.0,0,104.72,1104.62,3,Stayed,No,52,2405,Not Applicable,Not Applicable,0,1,7–12 months,45–59,$90+,Emerging Value,8,3,No Referrals,Higher Contract Risk,4,Very High,100.42,Protection Engaged,0.6095382652012162,True,False,True,False,False,True,False,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
0541-FITGH,Female,59,No,No,Yes,No,0,United States,California,Hornitos,95325,37.479926,-120.230424,128,Q3,Yes,6,2,Offer E,Yes,48.39,No,Yes,Cable,24,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,62.15,113.1,0.0,0,96.78,209.88,3,Joined,No,34,5766,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Premium Value,6,1,6+ Referrals,Higher Contract Risk,3,High,104.94,Advocate,0.4139671041528553,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
2740-TVLFN,Male,42,No,No,No,No,0,United States,California,Manteca,95337,37.750822,-121.238423,19867,Q3,No,0,1,Offer E,Yes,39.87,Yes,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.15,50.15,0.0,0,39.87,90.02,3,Joined,No,80,3043,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,90.02,Basic Relationship,0.6682781848681081,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
4146-SVFUD,Male,45,No,No,No,No,0,United States,California,Modesto,95351,37.621458,-121.012295,47536,Q3,No,0,1,No Offer,Yes,45.28,No,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,44.6,44.6,0.0,0,45.28,89.88,4,Joined,No,77,4864,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,High Value,3,0,No Referrals,Higher Contract Risk,3,High,89.88,Basic Relationship,0.5652804148468683,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1564-HJUVY,Male,53,No,No,No,No,0,United States,California,Modesto,95354,37.639029,-120.964772,27135,Q3,No,0,4,No Offer,Yes,3.03,No,Yes,DSL,11,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.75,226.2,0.0,0,12.12,238.32,5,Stayed,No,59,2624,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Emerging Value,6,2,No Referrals,Higher Contract Risk,2,Elevated,59.58,Protection Engaged,0.4355975065985777,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
7517-LDMPS,Female,31,No,No,No,No,0,United States,California,Modesto,95356,37.716186,-121.025836,26055,Q3,No,0,12,No Offer,Yes,2.57,No,Yes,Fiber Optic,25,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,1017.35,0.0,0,30.84,1048.19,5,Stayed,No,75,4807,Not Applicable,Not Applicable,0,1,7–12 months,30–44,$70–$89.99,High Value,6,1,No Referrals,Higher Contract Risk,4,Very High,87.35,Multi-Service,0.6571682533985638,True,True,True,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
5226-NOZFC,Male,48,No,No,No,No,0,United States,California,Modesto,95358,37.612612,-121.108568,30668,Q3,No,0,26,No Offer,Yes,40.35,No,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.75,2146.5,0.0,0,1049.1,3195.6,3,Stayed,No,64,3178,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$70–$89.99,Emerging Value,5,1,No Referrals,Higher Contract Risk,3,High,122.91,Multi-Service,0.6061524307419658,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
2187-PKZAY,Male,23,Yes,No,No,No,0,United States,California,Stevinson,95374,37.316807,-120.855753,1960,Q3,No,0,12,No Offer,Yes,40.06,No,Yes,Fiber Optic,41,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,1043.4,0.0,0,480.72,1524.12,5,Stayed,No,71,2968,Not Applicable,Not Applicable,0,1,7–12 months,19–29,$70–$89.99,Emerging Value,5,0,No Referrals,Higher Contract Risk,4,Very High,127.01,Multi-Service,0.6746544811200783,True,False,True,False,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
6652-YFFJO,Female,42,No,No,No,No,0,United States,California,Tuolumne,95379,37.939768,-120.188002,3979,Q3,No,0,11,Offer D,Yes,13.56,No,Yes,Cable,17,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.9,716.1,0.0,0,149.16,865.26,5,Stayed,No,80,2775,Not Applicable,Not Applicable,0,1,7–12 months,30–44,$35–$69.99,Emerging Value,6,0,No Referrals,Higher Contract Risk,3,High,78.66,Multi-Service,0.5100472412966321,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
2668-TZSPS,Male,32,No,No,No,No,0,United States,California,Santa Rosa,95403,38.488431,-122.752839,40270,Q3,No,0,1,No Offer,Yes,39.61,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.45,20.45,0.0,0,39.61,60.06,5,Joined,No,51,2664,Not Applicable,Not Applicable,0,1,1–6 months,30–44,Under $35,Emerging Value,1,0,No Referrals,Higher Contract Risk,3,High,60.06,Basic Relationship,0.3615095486549759,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
5542-TBBWB,Male,46,No,No,No,No,0,United States,California,Lakeport,95453,39.080469,-122.955176,11180,Q3,No,0,1,No Offer,Yes,9.36,No,Yes,Fiber Optic,14,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.9,69.9,0.0,10,9.36,89.26,4,Joined,No,26,3358,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Emerging Value,2,0,No Referrals,Higher Contract Risk,4,Very High,89.26,Basic Relationship,0.6685576272085085,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
3352-ALMCK,Male,42,No,No,No,No,0,United States,California,Navarro,95463,39.182916,-123.552571,148,Q3,No,0,40,No Offer,Yes,32.78,Yes,Yes,Fiber Optic,29,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.65,4108.15,0.0,0,1311.2,5419.35,4,Stayed,No,52,3655,Not Applicable,Not Applicable,0,1,25–48 months,30–44,$90+,Core Value,8,2,No Referrals,Higher Contract Risk,4,Very High,135.48,Protection Engaged,0.5098631022365557,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
3987-KQDDU,Male,58,No,No,No,No,0,United States,California,Sonoma,95476,38.25485,-122.461799,34314,Q3,No,0,9,No Offer,Yes,21.11,No,Yes,Fiber Optic,6,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,661.55,0.0,0,189.99,851.54,3,Stayed,No,30,4990,Not Applicable,Not Applicable,0,1,7–12 months,45–59,$70–$89.99,High Value,4,1,No Referrals,Higher Contract Risk,4,Very High,94.62,Basic Relationship,0.5062910468873706,True,True,True,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
5649-RXQTV,Male,34,No,No,No,No,0,United States,California,Alderpoint,95511,40.166028,-123.584144,261,Q3,No,0,51,Offer B,Yes,42.33,No,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.0,5038.15,0.0,0,2158.83,7196.98,5,Stayed,No,78,5787,Not Applicable,Not Applicable,0,1,49–72 months,30–44,$90+,Premium Value,8,2,No Referrals,Higher Contract Risk,4,Very High,141.12,Protection Engaged,0.4695032972485013,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
2674-MIAHT,Female,26,Yes,No,No,No,0,United States,California,Blocksburg,95514,40.309088,-123.668201,199,Q3,No,0,4,No Offer,Yes,38.74,Yes,Yes,Fiber Optic,51,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.3,324.2,0.0,0,154.96,479.16,3,Stayed,No,70,3132,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$70–$89.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,4,Very High,119.79,Basic Relationship,0.6037539909614625,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
7587-AOVVU,Male,39,No,No,Yes,Yes,1,United States,California,Arcata,95521,40.839958,-124.003757,19596,Q3,No,0,27,No Offer,Yes,14.07,Yes,Yes,Fiber Optic,15,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,100.75,2793.55,0.0,0,379.89,3173.44,3,Stayed,No,31,3160,Not Applicable,Not Applicable,0,1,25–48 months,30–44,$90+,Emerging Value,7,3,No Referrals,Higher Contract Risk,3,High,117.53,Protection Engaged,0.6601507030950386,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
0258-NOKBL,Male,22,Yes,No,No,No,0,United States,California,Fortuna,95540,40.584991,-124.121504,12241,Q3,No,0,3,No Offer,Yes,31.48,No,Yes,Fiber Optic,73,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4,268.45,0.0,0,94.44,362.89,5,Joined,No,61,5625,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$90+,Premium Value,7,2,No Referrals,Higher Contract Risk,5,Very High,120.96,Protection Engaged,0.6344805990385638,True,True,True,True,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
2960-NKRSO,Male,60,No,No,No,No,0,United States,California,Mad River,95552,40.390301,-123.412327,265,Q3,No,0,24,No Offer,Yes,9.53,No,Yes,Fiber Optic,24,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,2107.15,0.0,0,228.72,2335.87,3,Stayed,No,52,5421,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$70–$89.99,Premium Value,6,3,No Referrals,Higher Contract Risk,2,Elevated,97.33,Protection Engaged,0.4598845750197415,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
2209-XADXF,Female,40,No,No,No,No,0,United States,California,Willow Creek,95573,40.949012,-123.655847,1666,Q3,No,0,1,Offer E,No,0.0,No,Yes,DSL,15,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.25,25.25,0.0,10,0.0,35.25,5,Joined,No,28,4831,Not Applicable,Not Applicable,0,1,1–6 months,30–44,Under $35,High Value,1,0,No Referrals,Higher Contract Risk,3,High,35.25,Basic Relationship,0.5630341873610173,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4770-UEZOX,Male,19,Yes,No,No,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239,Q3,No,0,2,Offer E,Yes,43.56,No,Yes,Fiber Optic,52,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.75,144.8,0.0,0,87.12,231.92,3,Joined,No,34,4545,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$70–$89.99,High Value,4,1,No Referrals,Higher Contract Risk,4,Very High,115.96,Basic Relationship,0.7050334422517117,True,True,True,True,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
8896-BQTTI,Male,41,No,No,No,No,0,United States,California,Cool,95614,38.880622,-120.973865,3674,Q3,No,0,1,Offer E,Yes,3.39,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,25.0,25.0,0.0,0,3.39,28.39,3,Joined,No,53,2371,Not Applicable,Not Applicable,0,1,1–6 months,30–44,Under $35,Emerging Value,1,0,No Referrals,Higher Contract Risk,3,High,28.39,Basic Relationship,0.3475481356942371,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1614-JBEBI,Female,59,No,No,No,No,0,United States,California,Georgetown,95634,38.9386,-120.785514,2723,Q3,No,0,8,Offer E,Yes,26.47,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.7,137.6,0.0,0,211.76,349.36,5,Stayed,No,49,3330,Not Applicable,Not Applicable,0,1,7–12 months,45–59,Under $35,Emerging Value,1,0,No Referrals,Higher Contract Risk,3,High,43.67,Basic Relationship,0.4754769323883586,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
1406-PUQVY,Male,29,Yes,No,No,Yes,1,United States,California,Madison,95653,38.674276,-121.961866,844,Q3,No,0,1,Offer E,Yes,6.35,No,Yes,DSL,76,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.9,49.9,0.0,0,6.35,56.25,5,Joined,No,39,3239,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$35–$69.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,3,High,56.25,Basic Relationship,0.3575803891496031,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1728-BQDMA,Female,22,Yes,No,No,No,0,United States,California,Penryn,95663,38.859093,-121.182872,2048,Q3,No,0,2,Offer E,Yes,18.7,No,Yes,DSL,59,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.45,82.7,0.0,0,37.4,120.1,3,Joined,No,26,5694,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$35–$69.99,Premium Value,3,0,No Referrals,Higher Contract Risk,3,High,60.05,Basic Relationship,0.4485158814457045,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1666-JXLKU,Female,64,No,No,No,No,0,United States,California,Shingle Springs,95682,38.598936,-120.963092,24738,Q3,No,0,37,Offer C,Yes,17.46,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.05,3810.55,0.0,0,646.02,4456.57,5,Stayed,No,52,2904,Not Applicable,Not Applicable,0,1,25–48 months,60–69,$90+,Emerging Value,7,1,No Referrals,Higher Contract Risk,4,Very High,120.45,Multi-Service,0.6408718826511253,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
7855-DIWPO,Female,60,No,No,No,No,0,United States,California,Sloughhouse,95683,38.470423,-121.114897,4731,Q3,No,0,21,Offer D,Yes,30.59,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.65,1493.2,0.0,0,642.39,2135.59,5,Stayed,No,21,2006,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$35–$69.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,101.69,Basic Relationship,0.418378753389157,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
5133-POWUA,Male,34,No,No,No,No,0,United States,California,Somerset,95684,38.606703,-120.586659,2958,Q3,No,0,1,No Offer,Yes,13.62,No,Yes,Cable,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.8,45.8,0.0,0,13.62,59.42,5,Joined,No,30,2614,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,59.42,Basic Relationship,0.4522918324942394,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
5652-MSDEY,Female,37,No,No,No,No,0,United States,California,Sutter Creek,95685,38.432145,-120.77069,4610,Q3,No,0,10,No Offer,Yes,39.85,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.75,777.3,0.0,0,398.5,1175.8,5,Stayed,No,52,4525,Not Applicable,Not Applicable,0,1,7–12 months,30–44,$70–$89.99,Core Value,3,0,No Referrals,Higher Contract Risk,4,Very High,117.58,Basic Relationship,0.814674538019986,True,False,True,False,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
1784-BXEFA,Female,63,No,No,No,No,0,United States,California,Vacaville,95688,38.419088,-122.024568,32564,Q3,No,0,10,No Offer,Yes,4.76,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.55,187.35,0.0,0,47.6,234.95,3,Stayed,No,43,3595,Not Applicable,Not Applicable,0,1,7–12 months,60–69,Under $35,Core Value,1,0,No Referrals,Higher Contract Risk,3,High,23.49,Basic Relationship,0.38096658282378,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
7351-MHQVU,Female,43,No,No,No,No,0,United States,California,Volcano,95689,38.481902,-120.603668,1273,Q3,No,0,6,Offer E,No,0.0,No,Yes,Cable,23,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,50.95,307.6,0.0,0,0.0,307.6,3,Stayed,No,79,3474,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Core Value,7,3,No Referrals,Higher Contract Risk,2,Elevated,51.27,Protection Engaged,0.3851190880497465,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1777-JYQPJ,Male,19,Yes,No,No,No,0,United States,California,Colfax,95713,39.084645,-120.894014,8525,Q3,No,0,2,Offer E,No,0.0,No,Yes,DSL,59,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,24.3,38.45,0.0,0,0.0,38.45,4,Joined,No,77,2515,Not Applicable,Not Applicable,0,1,1–6 months,19–29,Under $35,Emerging Value,2,0,No Referrals,Higher Contract Risk,3,High,19.23,Basic Relationship,0.6666581548639607,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
3853-LYGAM,Male,58,No,No,No,No,0,United States,California,Meadow Vista,95722,39.003358,-121.022539,3747,Q3,No,0,17,No Offer,Yes,21.14,Yes,Yes,Fiber Optic,5,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.65,1640.0,0.0,0,359.38,1999.38,4,Stayed,No,49,3139,Not Applicable,Not Applicable,0,1,13–24 months,45–59,$90+,Emerging Value,7,2,No Referrals,Higher Contract Risk,3,High,117.61,Protection Engaged,0.6889170328448458,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
